run_id,last_loss,RMS,Rel,delta1,delta2,delta3
0045,0.00025867560179904103,0.003136,0.000974,0.999974,1.0,1.0
0048,0.0002736830501817167,0.003433,0.000818,0.999948,1.0,1.0
0049,0.00026475571212358773,0.003342,0.000816,0.999935,1.0,1.0
0050,0.00011748748511308804,0.070809,0.001991,0.997956,0.999284,0.999648
0051,0.00012898806016892195,0.001494,0.000529,1.0,1.0,1.0
0052,0.00017145517631433904,0.141354,0.009879,0.987174,0.993802,0.994648
0053,0.0001920217473525554,0.029031,0.001067,0.999935,0.999948,0.999961
0054,0.00017426334670744836,0.009499,0.000782,0.999961,1.0,1.0
0100,0.007665654644370079,0.063167,0.003266,0.998659,0.999232,0.99931
0101,0.002303207525983453,0.030369,0.003876,0.999297,0.999609,0.999635
0265,6.0625730839092284e-05,0.140618,0.003882,0.996836,0.997513,0.998372
0393,0.00037045360659249127,0.140274,0.00818,0.990026,0.99306,0.995807
0400,6.783512799302116e-05,0.010408,0.000887,1.0,1.0,1.0
0437,7.701448339503258e-05,0.013779,0.001286,1.0,1.0,1.0
0578,0.00024657361791469157,0.03998,0.001731,0.998945,0.99918,0.999362
0674,0.0002713192661758512,0.023286,0.002387,0.999414,0.99957,0.999701
0792,0.00015393317153211683,0.177083,0.00687,0.992383,0.995677,0.997031
0885,0.002838131273165345,0.019892,0.002554,0.999388,0.999622,0.999661
0954,0.05219927057623863,0.181029,0.015506,0.985846,0.990573,0.993398
1029,0.0007003764621913433,0.030059,0.002072,0.999531,0.999753,0.999818
AVERAGE,0.0034267862833075925,0.0566021,0.00346765,0.9972604,0.9983411500000001,0.9988176
